Date,HomeTeam,AwayTeam,HT,FT
2021-01-30,Man City,Sheffield United,1-0,1-0
2021-01-30,West Brom,Fulham,0-1,2-2
2021-01-30,Arsenal,Man United,0-0,0-0
2021-01-30,Southampton,Aston Villa,0-1,0-1
2021-01-31,West Ham,Liverpool,0-0,1-3
2021-01-31,Brighton,Tottenham,1-0,1-0
2021-01-31,Chelsea,Burnley,1-0,2-0
2021-01-31,Leicester,Leeds,1-1,1-3
2021-02-02,Sheffield United,West Brom,0-1,2-1
2021-02-02,Wolves,Arsenal,1-1,2-1
2021-02-02,Man United,Southampton,4-0,9-0
2021-02-02,Newcastle,Crystal Palace,1-2,1-2
2021-02-03,Burnley,Man City,0-2,0-2
2021-02-03,Fulham,Leicester,0-2,0-2
2021-02-03,Leeds,Everton,0-2,1-2
2021-02-03,Aston Villa,West Ham,0-0,1-3
2021-02-03,Liverpool,Brighton,0-0,0-1
2021-02-04,Tottenham,Chelsea,0-1,0-1
2021-02-06,Man United,Everton,2-0,3-3
2021-02-06,Fulham,West Ham,0-0,0-0
2021-02-06,Aston Villa,Arsenal,1-0,1-0
2021-02-06,Burnley,Brighton,0-1,1-1
2021-02-06,Newcastle,Southampton,3-1,3-2
2021-02-07,Tottenham,West Brom,0-0,2-0
2021-02-07,Wolves,Leicester,0-0,0-0
2021-02-07,Liverpool,Man City,0-0,1-4
2021-02-07,Sheffield United,Chelsea,0-1,1-2
2021-02-08,Leeds,Crystal Palace,1-0,2-0
2021-02-13,Man City,Tottenham,1-0,3-0
2021-02-13,Brighton,Aston Villa,0-0,0-0
2021-02-13,Leicester,Liverpool,0-0,3-1
2021-02-13,Crystal Palace,Burnley,0-2,0-3
2021-02-14,Southampton,Wolves,1-0,1-2
2021-02-14,West Brom,Man United,1-1,1-1
2021-02-14,Arsenal,Leeds,3-0,4-2
2021-02-14,Everton,Fulham,0-0,0-2
2021-02-15,West Ham,Sheffield United,1-0,3-0
2021-02-15,Chelsea,Newcastle,2-0,2-0
2021-02-17,Burnley,Fulham,0-0,1-1
2021-02-17,Everton,Man City,1-1,1-3
2021-02-19,Wolves,Leeds,0-0,1-0
2021-02-20,Fulham,Sheffield United,0-0,1-0
2021-02-20,Liverpool,Everton,0-1,0-2
2021-02-20,Southampton,Chelsea,1-0,1-1
2021-02-20,Burnley,West Brom,0-0,0-0
2021-02-21,West Ham,Tottenham,1-0,2-1
2021-02-21,Aston Villa,Leicester,0-2,1-2
2021-02-21,Arsenal,Man City,0-1,0-1
2021-02-21,Man United,Newcastle,1-1,3-1
2021-02-22,Brighton,Crystal Palace,0-1,1-2
2021-02-23,Leeds,Southampton,0-0,3-0
2021-02-27,Leeds,Aston Villa,0-1,0-1
2021-02-27,Newcastle,Wolves,0-0,1-1
2021-02-27,Man City,West Ham,1-1,2-1
2021-02-27,West Brom,Brighton,1-0,1-0
2021-02-28,Crystal Palace,Fulham,0-0,0-0
2021-02-28,Leicester,Arsenal,1-2,1-3
2021-02-28,Tottenham,Burnley,3-0,4-0
2021-02-28,Chelsea,Man United,0-0,0-0
2021-02-28,Sheffield United,Liverpool,0-0,0-2
