HomeTeam,AwayTeam,Date,FT,HT
Everton,Nott'm Forest,2024-12-29,0-2,0-1
Aston Villa,Brighton,2024-12-30,2-2,1-1
Ipswich,Chelsea,2024-12-30,2-0,1-0
Man United,Newcastle,2024-12-30,0-2,0-2
Brentford,Arsenal,2025-01-01,1-3,1-1
Southampton,Brentford,2025-01-04,0-5,0-1
Brighton,Arsenal,2025-01-04,1-1,0-1
Man City,West Ham,2025-01-04,4-1,2-0
Tottenham,Newcastle,2025-01-04,1-2,1-2
Bournemouth,Everton,2025-01-04,1-0,0-0
Crystal Palace,Chelsea,2025-01-04,1-1,0-1
Aston Villa,Leicester,2025-01-04,2-1,0-0
Fulham,Ipswich,2025-01-05,2-2,0-1
Liverpool,Man United,2025-01-05,2-2,0-0
Wolves,Nott'm Forest,2025-01-06,0-3,0-2
Brentford,Man City,2025-01-14,2-2,0-0
Chelsea,Bournemouth,2025-01-14,2-2,1-0
West Ham,Fulham,2025-01-14,3-2,2-0
Nott'm Forest,Liverpool,2025-01-14,1-1,1-0
Arsenal,Tottenham,2025-01-15,2-1,2-1
Newcastle,Wolves,2025-01-15,3-0,1-0
Leicester,Crystal Palace,2025-01-15,0-2,0-0
Everton,Aston Villa,2025-01-15,0-1,0-0
Ipswich,Brighton,2025-01-16,0-2,0-0
Man United,Southampton,2025-01-16,3-1,0-1
Newcastle,Bournemouth,2025-01-18,1-4,1-2
Brentford,Liverpool,2025-01-18,0-2,0-0
Leicester,Fulham,2025-01-18,0-2,0-0
West Ham,Crystal Palace,2025-01-18,0-2,0-0
Arsenal,Aston Villa,2025-01-18,2-2,1-0
Nott'm Forest,Southampton,2025-01-19,3-2,3-0
Ipswich,Man City,2025-01-19,0-6,0-3
Everton,Tottenham,2025-01-19,3-2,3-0
Man United,Brighton,2025-01-19,1-3,1-1
Chelsea,Wolves,2025-01-20,3-1,1-1
Bournemouth,Nott'm Forest,2025-01-25,5-0,1-0
Brighton,Everton,2025-01-25,0-1,0-1
Liverpool,Ipswich,2025-01-25,4-1,3-0
Southampton,Newcastle,2025-01-25,1-3,1-2
Wolves,Arsenal,2025-01-25,0-1,0-0
Man City,Chelsea,2025-01-25,3-1,1-1
Fulham,Man United,2025-01-26,0-1,0-0
Aston Villa,West Ham,2025-01-26,1-1,1-0
Crystal Palace,Brentford,2025-01-26,1-2,0-0
Tottenham,Leicester,2025-01-26,1-2,1-0
Nott'm Forest,Brighton,2025-02-01,7-0,3-0
Bournemouth,Liverpool,2025-02-01,0-2,0-1
Everton,Leicester,2025-02-01,4-0,3-0
